time [s],x [m],y [m],speed [m/s],acceleration [m/s²]
16.6807,1.04614,0.250881,0.00563896,-0.0225912
16.725,1.04614,0.250653,0.00467077,-0.0210811
16.7693,1.04614,0.250466,0.00377295,-0.0194147
16.8136,1.04614,0.250317,0.0029525,-0.0175884
16.8579,1.04614,0.250203,0.0022166,-0.0155982
16.9022,1.04614,0.250119,0.00157259,-0.0134403
16.9465,1.04614,0.250062,0.00102798,-0.0111108
16.9908,1.04614,0.250027,0.000590478,-0.00860593
17.0352,1.04614,0.250008,0.000267931,-0.00592172
17.0795,1.04614,0.250001,6.83708e-05,-0.00305436
17.1238,1.04614,0.25,0,0
17.1238,1.04614,0.25,0,0
17.1642,1.04614,0.25,2.43224e-05,0.00119988
17.2046,1.04614,0.25,9.663e-05,0.00237527
17.245,1.04613,0.25,0.000215933,0.00352617
17.2854,1.04612,0.25,0.000381243,0.00465259
17.3258,1.04611,0.25,0.00059157,0.00575451
17.3662,1.04608,0.25,0.000845925,0.00683196
17.4066,1.04605,0.25,0.00114332,0.00788491
17.447,1.04601,0.25,0.00148276,0.00891338
17.4874,1.04596,0.25,0.00186326,0.00991736
17.5278,1.0459,0.25,0.00228383,0.0108968
17.5682,1.04583,0.25,0.00274348,0.0118519
17.6086,1.04574,0.25,0.00324123,0.0127824
17.649,1.04564,0.25,0.00377607,0.0136884
17.6894,1.04553,0.25,0.00434703,0.0145699
17.7298,1.04539,0.25,0.00495311,0.015427
17.7702,1.04524,0.25,0.00559333,0.0162596
17.8107,1.04508,0.25,0.00626669,0.0170676
17.8511,1.04489,0.25,0.0069722,0.0178512
17.8915,1.04469,0.25,0.00770888,0.0186103
17.9319,1.04446,0.25,0.00847574,0.019345
17.9723,1.04421,0.25,0.00927178,0.0200551
18.0127,1.04394,0.25,0.010096,0.0207407
18.0531,1.04365,0.25,0.0109475,0.0214019
18.0935,1.04334,0.25,0.0118251,0.0220386
18.1339,1.043,0.25,0.012728,0.0226507
18.1743,1.04263,0.25,0.0136552,0.0232384
18.2147,1.04224,0.25,0.0146056,0.0238017
18.2551,1.04183,0.25,0.0155782,0.0243404
18.2955,1.04139,0.25,0.0165721,0.0248546
18.3359,1.04092,0.25,0.0175863,0.0253444
18.3763,1.04042,0.25,0.0186198,0.0258096
18.4167,1.0399,0.25,0.0196716,0.0262504
18.4571,1.03934,0.25,0.0207407,0.0266667
18.4975,1.03876,0.25,0.0218262,0.0270585
18.5379,1.03815,0.25,0.022927,0.0274258
18.5783,1.03751,0.25,0.0240421,0.0277686
18.6187,1.03684,0.25,0.0251706,0.0280869
18.6591,1.03614,0.25,0.0263114,0.0283808
18.6995,1.0354,0.25,0.0274636,0.0286501
18.7399,1.03464,0.25,0.0286262,0.028895
18.7803,1.03385,0.25,0.0297982,0.0291154
18.8208,1.03302,0.25,0.0309787,0.0293113
18.8612,1.03216,0.25,0.0321665,0.0294827
18.9016,1.03127,0.25,0.0333608,0.0296296
18.942,1.03035,0.25,0.0345605,0.0297521
18.9824,1.0294,0.25,0.0357646,0.02985
19.0228,1.02841,0.25,0.0369723,0.0299235
19.0632,1.02739,0.25,0.0381824,0.0299725
19.1036,1.02634,0.25,0.039394,0.0299969
19.144,1.02526,0.25,0.040606,0.0299969
19.1844,1.02414,0.25,0.0418176,0.0299725
19.2248,1.023,0.25,0.0430277,0.0299235
19.2652,1.02182,0.25,0.0442354,0.02985
19.3056,1.0206,0.25,0.0454395,0.0297521
19.346,1.01936,0.25,0.0466392,0.0296296
19.3864,1.01809,0.25,0.0478335,0.0294827
19.4268,1.01678,0.25,0.0490213,0.0293113
19.4672,1.01544,0.25,0.0502018,0.0291154
19.5076,1.01407,0.25,0.0513738,0.028895
19.548,1.01267,0.25,0.0525364,0.0286501
19.5884,1.01124,0.25,0.0536886,0.0283808
19.6288,1.00978,0.25,0.0548294,0.0280869
19.6692,1.00828,0.25,0.0559579,0.0277686
19.7096,1.00676,0.25,0.057073,0.0274258
19.75,1.00521,0.25,0.0581738,0.0270585
19.7904,1.00363,0.25,0.0592593,0.0266667
19.8309,1.00202,0.25,0.0603284,0.0262504
19.8713,1.00038,0.25,0.0613802,0.0258096
19.9117,0.998719,0.25,0.0624137,0.0253444
19.9521,0.997028,0.25,0.0634279,0.0248546
19.9925,0.99531,0.25,0.0644218,0.0243404
20.0329,0.993566,0.25,0.0653944,0.0238017
20.0733,0.991797,0.25,0.0663448,0.0232384
20.1137,0.990003,0.25,0.067272,0.0226507
20.1541,0.988185,0.25,0.0681749,0.0220386
20.1945,0.986344,0.25,0.0690525,0.0214019
20.2349,0.98448,0.25,0.069904,0.0207407
20.2753,0.982594,0.25,0.0707282,0.0200551
20.3157,0.980686,0.25,0.0715243,0.019345
20.3561,0.978758,0.25,0.0722911,0.0186103
20.3965,0.976811,0.25,0.0730278,0.0178512
20.4369,0.974845,0.25,0.0737333,0.0170676
20.4773,0.972861,0.25,0.0744067,0.0162596
20.5177,0.970859,0.25,0.0750469,0.015427
20.5581,0.968842,0.25,0.075653,0.0145699
20.5985,0.966809,0.25,0.0762239,0.0136884
20.6389,0.964762,0.25,0.0767588,0.0127824
20.6793,0.962702,0.25,0.0772565,0.0118519
20.7197,0.96063,0.25,0.0777162,0.0108968
20.7601,0.958546,0.25,0.0781367,0.00991736
20.8005,0.956452,0.25,0.0785172,0.00891338
20.841,0.95435,0.25,0.0788567,0.00788491
20.8814,0.952239,0.25,0.0791541,0.00683196
20.9218,0.950121,0.25,0.0794084,0.00575451
20.9622,0.947998,0.25,0.0796188,0.00465259
21.0026,0.94587,0.25,0.0797841,0.00352617
21.043,0.94374,0.25,0.0799034,0.00237527
21.0834,0.941607,0.25,0.0799757,0.00119988
21.1238,0.939474,0.25,0.08,0
21.1238,0.939474,0.25,0.08,0
21.1716,0.935646,0.25,0.08,0
21.2195,0.931818,0.25,0.08,0
21.2673,0.92799,0.25,0.08,0
21.3152,0.924163,0.25,0.08,0
21.363,0.920335,0.25,0.08,0
21.4109,0.916507,0.25,0.08,0
21.4587,0.912679,0.25,0.08,0
21.5066,0.908852,0.25,0.08,0
21.5544,0.905024,0.25,0.08,0
21.6023,0.901196,0.25,0.08,0
21.6501,0.897368,0.25,0.08,0
21.6979,0.893541,0.25,0.08,0
21.7458,0.889713,0.25,0.08,0
21.7936,0.885885,0.25,0.08,0
21.8415,0.882057,0.25,0.08,0
21.8893,0.87823,0.25,0.08,0
21.9372,0.874402,0.25,0.08,0
21.985,0.870574,0.25,0.08,0
22.0329,0.866746,0.25,0.08,0
22.0807,0.862919,0.25,0.08,0
22.1286,0.859091,0.25,0.08,0
22.1764,0.855263,0.25,0.08,0
22.2243,0.851435,0.25,0.08,0
22.2721,0.847608,0.25,0.08,0
22.32,0.84378,0.25,0.08,0
22.3678,0.839952,0.25,0.08,0
22.4156,0.836124,0.25,0.08,0
22.4635,0.832297,0.25,0.08,0
22.5113,0.828469,0.25,0.08,0
22.5592,0.824641,0.25,0.08,0
22.607,0.820813,0.25,0.08,0
22.6549,0.816986,0.25,0.08,0
22.7027,0.813158,0.25,0.08,0
22.7506,0.80933,0.25,0.08,0
22.7984,0.805502,0.25,0.08,0
22.8463,0.801675,0.25,0.08,0
22.8941,0.797847,0.25,0.08,0
22.942,0.794019,0.25,0.08,0
22.9898,0.790191,0.25,0.08,0
23.0377,0.786364,0.25,0.08,0
23.0855,0.782536,0.25,0.08,0
23.1334,0.778708,0.25,0.08,0
23.1812,0.77488,0.25,0.08,0
23.229,0.771053,0.25,0.08,0
23.2769,0.767225,0.25,0.08,0
23.3247,0.763397,0.25,0.08,0
23.3726,0.759569,0.25,0.08,0
23.4204,0.755742,0.25,0.08,0
23.4683,0.751914,0.25,0.08,0
23.5161,0.748086,0.25,0.08,0
23.564,0.744258,0.25,0.08,0
23.6118,0.740431,0.25,0.08,0
23.6597,0.736603,0.25,0.08,0
23.7075,0.732775,0.25,0.08,0
23.7554,0.728947,0.25,0.08,0
23.8032,0.72512,0.25,0.08,0
23.8511,0.721292,0.25,0.08,0
23.8989,0.717464,0.25,0.08,0
23.9467,0.713636,0.25,0.08,0
23.9946,0.709809,0.25,0.08,0
24.0424,0.705981,0.25,0.08,0
24.0903,0.702153,0.25,0.08,0
24.1381,0.698325,0.25,0.08,0
24.186,0.694498,0.25,0.08,0
24.2338,0.69067,0.25,0.08,0
24.2817,0.686842,0.25,0.08,0
24.3295,0.683014,0.25,0.08,0
24.3774,0.679187,0.25,0.08,0
